match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
2001-09-08,Premiership Rugby,Leicester Tigers,45,2767,6,6,1,0,Wasps,15,2645,0,0,5,0
2001-09-08,Premiership Rugby,Northampton Saints,26,2594,2,2,4,0,Bath Rugby,7,2630,1,1,0,0
2001-09-08,Premiership Rugby,Sale Sharks,37,2457,4,4,3,0,Newcastle Falcons,11,2500,1,0,2,0
2001-09-09,Premiership Rugby,London Irish,42,2517,6,6,0,0,Yorkshire Carnegie,14,2499,2,2,0,0
2001-09-15,Premiership Rugby,Bath Rugby,20,2619,2,2,2,0,Saracens,27,2601,3,3,2,0
2001-09-15,Premiership Rugby,Gloucester Rugby,18,2513,0,0,6,0,Leicester Tigers,40,2773,4,4,4,0
2001-09-15,Rugby World Cup Qualifier,Madagascar,31,2513,4,4,1,0,Botswana,11,2470,1,0,2,0
2001-09-16,Premiership Rugby,Yorkshire Carnegie,6,2487,0,0,2,0,Northampton Saints,26,2606,2,2,4,0
2001-09-16,Premiership Rugby,Newcastle Falcons,6,2498,0,0,2,0,Harlequins,6,2417,0,0,2,0
2001-09-16,Premiership Rugby,Bristol Rugby,19,2476,1,1,4,0,London Irish,19,2517,1,1,4,0
2001-09-16,Premiership Rugby,Wasps,21,2622,3,3,0,0,Sale Sharks,40,2479,4,4,4,0
2001-09-21,Rugby World Cup Qualifier,Czech Republic,46,2475,4,4,6,0,Belgium,3,2496,0,0,1,0
2001-09-21,Rugby World Cup Qualifier,Latvia,18,2546,0,0,6,0,Poland,60,2579,6,6,6,0
2001-09-22,Six Nations Championship,Scotland,32,2552,2,2,6,0,Ireland,10,2510,1,1,1,0
2001-09-22,Premiership Rugby,Leicester Tigers,48,2781,6,6,2,0,Bath Rugby,9,2610,0,0,3,0
2001-09-22,Premiership Rugby,Harlequins,33,2439,3,3,4,0,Wasps,13,2599,1,1,2,0
2001-09-22,Premiership Rugby,Sale Sharks,21,2465,3,3,0,0,Gloucester Rugby,44,2527,5,5,3,0
2001-09-23,Premiership Rugby,Bristol Rugby,34,2486,4,4,2,0,Yorkshire Carnegie,29,2477,2,2,5,0
2001-09-23,Premiership Rugby,London Irish,18,2506,0,0,6,0,Newcastle Falcons,22,2509,1,1,5,0
2001-09-23,Premiership Rugby,Saracens,25,2611,1,1,6,0,Northampton Saints,20,2596,2,2,2,0
2001-09-28,Rugby World Cup Qualifier,Swaziland,21,2479,3,3,0,0,Madagascar,26,2523,2,2,4,0
2001-09-28,Rugby World Cup Qualifier,Poland,18,2588,0,0,6,0,Sweden,6,2547,0,0,2,0
2001-10-05,Rugby World Cup Qualifier,Switzerland,6,2481,0,0,2,0,Czech Republic,32,2491,2,2,6,0
2001-10-05,Rugby World Cup Qualifier,Venezuela,55,2514,7,7,2,0,Colombia,0,2485,0,0,0,0
2001-10-06,Rugby World Cup Qualifier,Sweden,37,2562,4,4,3,0,Latvia,12,2532,0,0,4,0
2001-10-12,Rugby World Cup Qualifier,Ukraine,21,2583,3,3,0,0,Belgium,10,2489,1,1,1,0
2001-10-12,Rugby World Cup Qualifier,Croatia,5,2598,1,0,0,0,Czech Republic,13,2505,1,1,2,0
2001-10-12,Rugby World Cup Qualifier,Madagascar,27,2531,3,3,2,0,Kenya,20,2470,2,2,2,0
2001-10-12,Rugby World Cup Qualifier,Venezuela,46,2528,4,4,6,0,Peru,19,2486,1,1,4,0
2001-10-13,Six Nations Championship,Wales,6,2510,0,0,2,0,Ireland,36,2526,3,3,5,0
2001-10-13,Premiership Rugby,Bath Rugby,20,2616,2,2,2,0,Sale Sharks,17,2460,2,2,1,0
2001-10-13,Premiership Rugby,Gloucester Rugby,33,2538,3,3,4,0,Harlequins,7,2428,1,1,0,0
2001-10-13,Premiership Rugby,Northampton Saints,11,2591,1,0,2,0,Leicester Tigers,21,2787,3,3,0,0
2001-10-14,Premiership Rugby,Wasps,15,2586,0,0,5,0,London Irish,20,2519,2,2,2,0
2001-10-14,Premiership Rugby,Yorkshire Carnegie,27,2491,3,3,2,0,Saracens,14,2597,2,2,0,0
2001-10-14,Premiership Rugby,Newcastle Falcons,37,2523,4,4,3,0,Bristol Rugby,20,2473,2,2,2,0
2001-10-19,Rugby World Cup Qualifier,Ukraine,41,2598,5,5,2,0,Croatia,7,2583,1,1,0,0
2001-10-20,Six Nations Championship,Ireland,20,2541,2,2,2,0,England,14,2709,2,2,0,0
2001-10-20,Premiership Rugby,Sale Sharks,34,2480,4,4,2,0,Northampton Saints,14,2571,2,2,0,0
2001-10-20,Premiership Rugby,Leicester Tigers,36,2794,3,3,5,0,Saracens,10,2590,1,1,1,0
2001-10-20,Premiership Rugby,Harlequins,15,2443,0,0,5,0,Bath Rugby,8,2601,1,0,1,0
2001-10-20,Rugby World Cup Qualifier,Sweden,32,2573,2,2,6,0,Germany,10,2462,1,1,1,0
2001-10-21,Premiership Rugby,Newcastle Falcons,19,2532,1,1,4,0,Yorkshire Carnegie,8,2482,1,0,1,0
2001-10-21,Premiership Rugby,Bristol Rugby,43,2492,4,4,5,0,Wasps,22,2567,1,1,5,0
2001-10-21,Premiership Rugby,London Irish,19,2529,1,1,4,0,Gloucester Rugby,15,2528,0,0,5,0
